ORIGEN,280724,CH0001,CH0004,CH0006,CH0008,CH0009,CH0011,CH0012,CH0013,CH0017,CH0018,CH0019,CH0020,CH0023,CH0024,CH0025,CH0026,CH0027,CH0028,CH0029,CH0030,CH0031,CH0032,CH0034,CH0037,CH0038,CH0039,CH0041,CH0042,CH0043,CH0044,CH0045,CH0046,CH0047,CH0049,CH0050,CH0051,CH0052,CH0053,CH0054,CH0057,CH0059,CH0060,CH0061,CH0062,CH0063,CH0064,CH0065,CH0067,CH0068,CH0069,CH0070,CH0071,CH0072,CH0075,CH0076,CH0077,CH0079,CH0080,CH0081,CH0083,CH0084,CH0086,CH0087,CH0088,CH0089,CH0091,CH0092,CH0093,CH0094,CH0095,CH0096,CH0097,CH0098,CH0099,CH0100,CH0101,CH0102,CH0103,CH0104,CH0105,CH0106,CH0107,CH0109,CH0110,CH2669,,,,,CH0108
0010101,97.496,99.027,121.7,86.623,86.046,91.083,92.128,84.355,83.457,85.759,85.868,86.423,81.526,92.324,87.55,80.205,84.416,132.338,86.252,86.538,95.163,86.925,115.379,87.274,89.005,107.926,83.605,81.441,87.621,84.148,100.329,161.327,79.695,121.965,81.917,83.424,87.173,114.749,92.045,94.894,84.31,86.198,104.529,82.888,82.854,99.999,85.074,88.744,85.887,85.413,83.198,84.67,84.632,83.22,103.974,85.331,90.752,82.799,108.449,97.535,81.765,110.339,118.015,108.038,117.535,78.002,101.595,91.064,78.437,97.191,114.244,91.04,67.854,116.878,132.534,111.73,96.113,99.912,85.467,90.819,111.99,78.722,115.216,91.833,84.857,111.174,83.342,83.038,81.973,90.431,125.254
0020101,35.832,46.384,55.669,22.518,27.633,38.439,27.795,21.526,23.217,24.843,24.952,28.01,29.561,31.291,25.967,27.561,26.655,79.694,78.379,24.586,34.129,27.047,57.345,25.691,28.851,45.699,30.961,29.476,13.015,75.23,18.855,102.221,27.052,55.934,28.441,24.887,25.59,49.366,27.712,27.424,30.834,25.168,45.894,23.011,22.917,38.801,25.972,28.017,27.474,25.011,31.233,25.263,23.415,30.576,41.479,28.776,38.108,30.156,50.414,44.892,24.906,52.305,53.922,55.394,64.891,26.037,48.952,38.42,26.125,36.033,48.214,16.434,17.564,52.347,66.504,37.124,31.139,47.269,77.299,11.454,53.956,68.141,54.351,16.085,20.277,46.733,30.699,31.074,22.258,11.066,67.22
0030101,100.927,102.458,125.13,90.053,89.477,94.513,95.558,87.785,86.887,89.19,89.299,89.853,84.956,95.755,90.98,83.635,87.846,52.245,42.647,89.969,98.593,90.355,118.81,90.705,92.435,111.356,87.035,84.872,91.052,44.899,103.76,164.757,83.126,125.395,85.348,86.855,90.604,118.18,95.475,98.324,87.741,89.629,107.959,86.319,86.285,103.429,88.505,92.175,89.318,88.844,86.628,88.1,88.063,86.65,107.405,88.761,94.182,86.23,111.879,100.966,85.196,113.769,121.446,57.787,120.965,81.433,105.026,94.494,81.868,100.621,117.675,94.471,71.284,120.309,135.964,115.161,99.544,103.343,46.378,94.25,115.42,46.317,118.647,95.263,88.288,114.605,86.773,86.469,85.403,93.861,128.684
0040101,35.474,38.807,53.719,50.263,41.029,44.921,40.678,50.175,49.653,48.869,48.692,41.217,53.906,38.344,45.989,58.054,41.773,75.591,82.929,48.201,39.306,39.954,18.782,46.792,46.195,30.977,53.046,53.821,56.541,71.127,74.728,41.138,57.544,53.984,54.707,52.088,46.691,29.671,40.595,44.824,50.692,47.861,30.941,52.231,52.055,33.222,41.04,45.362,41.348,41.664,51.861,42.485,49.598,61.068,32.309,46.655,39.526,52.553,24.758,37.42,51.336,23.625,25.556,51.29,23.81,54.701,34.763,45.37,54.536,34.357,30.577,57.693,65.638,26.448,64.553,64.35,46.043,35.828,73.195,65.218,22.203,64.038,21.611,72.398,52.084,29.319,53.096,51.702,59.401,64.829,7.243
0080101,48.502,53.241,69.716,63.505,54.056,61.443,53.706,63.417,62.895,55.365,61.934,54.245,59.638,51.586,59.231,74.575,54.801,44.043,97.363,61.443,52.334,52.982,31.81,60.034,59.438,44.005,69.568,71.151,69.783,85.56,87.97,15.545,74.065,69.981,71.228,65.33,59.933,45.675,53.623,58.066,67.213,61.103,46.945,65.473,65.297,46.25,54.068,58.604,54.376,54.692,65.103,55.513,62.84,77.589,51.544,59.683,52.554,69.075,37.786,49.175,64.578,36.652,42.89,65.724,30.918,67.943,51.725,61.891,67.778,47.385,62.26,71.325,84.302,43.039,80.55,77.299,59.285,50.261,87.629,78.46,35.231,78.471,34.639,85.64,65.326,45.342,69.618,64.944,72.643,78.071,18.44
0080102,50.081,54.053,71.294,65.084,69.81,62.254,69.459,64.996,64.474,63.69,63.513,69.998,61.217,53.164,60.81,75.387,70.555,44.855,98.175,63.022,53.913,54.561,33.388,61.613,61.016,45.584,70.379,71.962,71.361,86.372,89.549,16.299,74.877,71.559,72.04,66.909,61.512,47.253,69.376,59.645,68.025,62.682,48.524,67.052,66.876,47.829,55.647,60.182,70.129,56.271,66.682,57.091,64.419,78.401,53.123,71.074,54.133,69.886,39.365,49.987,66.157,38.231,44.469,66.536,31.73,77.945,52.537,62.703,74.022,48.964,63.839,72.904,85.114,44.617,82.129,78.878,60.864,51.073,88.44,80.039,36.81,79.283,36.218,87.219,66.905,46.921,70.43,66.522,74.222,79.65,20.019
0080301,51.227,55.2,72.441,66.23,70.957,63.401,70.606,66.143,65.621,64.837,64.66,71.145,62.364,54.311,61.957,76.533,71.701,46.002,99.321,64.169,55.059,55.708,34.535,62.76,62.163,46.731,71.526,73.109,72.508,87.519,90.695,15.184,76.024,72.706,73.187,68.056,62.659,48.4,70.523,60.791,69.172,63.829,49.67,68.199,68.023,48.976,56.794,61.329,57.102,57.418,67.829,58.238,65.565,79.548,54.27,72.221,55.279,71.033,40.512,51.134,67.304,39.378,45.616,67.683,32.877,79.092,53.684,63.85,75.169,50.111,64.986,74.051,86.261,52.359,83.275,80.024,62.011,52.22,89.587,81.185,37.956,80.43,37.365,88.366,68.052,48.068,71.576,67.669,75.369,80.797,21.165
0080303,52.486,56.458,79.904,67.415,72.215,64.586,71.864,67.327,66.879,66.095,65.918,72.403,63.548,55.57,63.215,77.718,72.96,47.187,100.58,65.427,56.318,56.966,35.793,64.018,63.421,47.989,72.711,74.367,73.693,88.704,91.88,16.442,77.209,80.17,74.445,69.314,63.844,55.856,71.781,62.05,70.357,65.087,57.127,69.457,69.281,50.234,58.052,62.514,72.535,58.602,69.087,75.081,66.75,80.806,58.495,73.479,56.538,72.218,41.77,52.392,68.562,40.636,51.741,68.868,34.135,80.35,54.942,65.108,76.427,51.369,72.449,75.236,87.519,52.633,90.739,81.283,63.196,53.478,90.845,82.37,39.215,81.688,38.623,89.624,69.31,55.504,72.761,68.927,76.627,82.055,22.424
0080304,51.907,55.879,79.325,66.91,71.636,64.08,71.285,66.822,66.3,65.516,65.339,71.824,63.043,54.99,62.636,77.213,58.206,46.681,100.001,64.848,55.739,56.387,35.214,63.439,62.842,47.41,72.205,73.788,73.187,88.198,91.375,15.863,76.703,79.591,73.866,68.735,63.338,55.277,71.202,61.471,69.851,64.508,56.548,68.878,68.702,49.655,57.473,62.008,71.955,58.097,68.508,58.917,66.245,80.227,54.949,72.9,55.959,71.712,41.191,51.813,67.983,40.057,51.162,68.362,33.556,79.771,54.363,64.529,75.848,50.79,65.665,74.73,86.94,52.054,90.16,80.704,62.69,52.899,90.266,81.865,38.636,81.109,38.044,89.045,68.731,54.925,72.256,68.348,76.048,81.476,21.845
0080701,55.237,59.21,76.451,70.241,74.967,67.411,74.616,70.153,69.631,68.847,68.67,75.155,66.374,58.321,65.967,80.544,75.712,50.012,103.332,68.179,59.07,59.718,38.545,66.77,66.173,50.741,75.536,77.119,76.518,91.529,94.706,12.157,80.034,76.716,77.197,72.066,66.669,52.41,74.533,64.802,73.182,67.839,53.681,72.209,72.033,52.986,60.804,65.339,75.286,61.428,71.839,62.248,69.576,83.558,58.28,76.231,59.29,75.043,44.522,55.144,71.314,43.388,49.626,71.693,36.887,83.102,57.694,67.86,79.179,54.121,68.996,78.061,90.271,49.774,87.286,84.035,66.021,56.23,93.597,85.196,41.967,84.44,41.375,92.376,72.062,52.078,75.586,71.679,79.379,84.807,25.176
